feature,question,rel_question,labels
Can i exptend my family visit visa after 6 month?? Re-apply family visit visa (no need to wait 3 months),Dear Members; I have my wife in qatar on family visit visa; now it's gonna over 6 months; can i get more 2/3 months visa?? what is the procedure?? pls inform.,My visa is expiring real soon (completed 6th months). Can my husband re-apply for a family visit visa while I exit in near country like UAE; waiting for my visa to process? Or I have to exit to my country of origin before he re apply for a family visit? Has anyone tried this procedure? Thank you very much.,Relevant
Can i exptend my family visit visa after 6 month?? Visa Extension for My Sister in Law,Dear Members; I have my wife in qatar on family visit visa; now it's gonna over 6 months; can i get more 2/3 months visa?? what is the procedure?? pls inform.,Dear All; I would like to ask some help/advice from you regarding my sister's in law visa; she is under my sponsorship (family visit visa) and her visa will be expired on Nov.17;2012 (3months from the time she arrive in Doha). My question is; can I still extend her visa for another (1)one month? Please help and advice! Thank you!,Relevant
Can i exptend my family visit visa after 6 month?? Family visit visa extension in Imigration?,Dear Members; I have my wife in qatar on family visit visa; now it's gonna over 6 months; can i get more 2/3 months visa?? what is the procedure?? pls inform.,Dear you know imigration having any particular time for extending family visit visa? In doha; imigration office only in madina kalifa or ? which time & which days captain available there? We need to extend our family visit visa this month end then six months finished... Please help me ...,PerfectMatch
Can i exptend my family visit visa after 6 month?? New Visit Visa Extension,Dear Members; I have my wife in qatar on family visit visa; now it's gonna over 6 months; can i get more 2/3 months visa?? what is the procedure?? pls inform.,My sponsor; who is my brother; recently applied for a visit visa extension for me. It was approved and I was extended for another 4 months. But the thing is the visa extension is just a printed form and not a sticker that should have been posted in my passport. Anyone who can comment on this? Is this really the new system? Or have we missed something?,Irrelevant
Can i exptend my family visit visa after 6 month?? Family visit visa query,Dear Members; I have my wife in qatar on family visit visa; now it's gonna over 6 months; can i get more 2/3 months visa?? what is the procedure?? pls inform.,Is it a requirement to have my name on my wife's passport to get a family visit visa for 6 months? What are the other documents required to get a family visit visa (6 months) and within how many days this visa is issued? Thanks.,Relevant
Can i exptend my family visit visa after 6 month?? Return ticket required for the Family visit visa ?,Dear Members; I have my wife in qatar on family visit visa; now it's gonna over 6 months; can i get more 2/3 months visa?? what is the procedure?? pls inform.,Return ticket required for the Family visit visa ? My family coming on 26th January in visit visa; do they need return ticket to enter into the qatar ? .. Kindly reply....,Irrelevant
Can i exptend my family visit visa after 6 month?? What is the right visa to stay in qatar?,Dear Members; I have my wife in qatar on family visit visa; now it's gonna over 6 months; can i get more 2/3 months visa?? what is the procedure?? pls inform.,Hi; My husband started to work in qatar last week under work visa. currently he is in the process to apply residence permit. According to the company he worked for; I can only join him after 6 months since he need 6 months bank statement to apply my visa. Currently I am in Malaysia and planning to go there next month. May I know what is the suitable visa should i get and what are procedures to get it. Thanks.,Relevant
Can i exptend my family visit visa after 6 month?? Multiple entry Visit Visa,Dear Members; I have my wife in qatar on family visit visa; now it's gonna over 6 months; can i get more 2/3 months visa?? what is the procedure?? pls inform.,Is there any option of Multiple Entry Visit Visa for Qatar? Someone is saying; there is only Single Entry visa option. Also; where can i find the list of required documents as I couldn't see any such document in moi.gov.qa website.,Relevant
how to extend the visit visa after 6 months and how long period? Maximum period of a Visit Visa?,want to extend the visit visa. What are the procedures and how long i get the extension. thanks for the answers...,I'm currently in Doha on a 3 month Visit Visa. Anybody can please tell me; whether I can extend this futher more; maximum of how many months?,PerfectMatch
how to extend the visit visa after 6 months and how long period? MAXIMUM PERIOD OF EXTENDING VISIT VISA????????,want to extend the visit visa. What are the procedures and how long i get the extension. thanks for the answers...,HI ;; IF WIFE IS UNDER HER HUSBAND'S SPONSORSHIP AND IS WILLING TO COME QATAR ON VISIT; HOW LONG SHE CAN STAY AFTER EXTENDING THE VISA EVERY MONTH? I HAVE HEARD ITS NOT POSSIBLE TO EXTEND VISIT VISA MORE THAN 6 MONTHS? CAN U PLEASE ANSWER ME.. THANKZZZ...,Relevant
how to extend the visit visa after 6 months and how long period? Convert Tourist visa to Family visit visa,want to extend the visit visa. What are the procedures and how long i get the extension. thanks for the answers...,Hi all need your help/advice we'll be in Qatar next week; me on a working visa and tourist visa for my family (wife son;daughter). My query is can I convert their tourist visa to family visit visa even I dont have yet a Qatar ID? My profession in visa is Civil Engineer. Thanks in advance..,Irrelevant
how to extend the visit visa after 6 months and how long period? Is it true??? VISIT VISA????,want to extend the visit visa. What are the procedures and how long i get the extension. thanks for the answers...,Is it true that personal visit visa cannot extend to 5 months as per today news? Validity is only one month-- no more extension?,Relevant
how to extend the visit visa after 6 months and how long period? extended visa to business visa,want to extend the visit visa. What are the procedures and how long i get the extension. thanks for the answers...,My visa is visit visa for 1 month then naextend for another 5 months then nkahanap n aq ng work nung png 4th month q. Sabi ng company mavivisahan aq then nung malapit n maxpired ung visa q ang gnawa ng company is inextend nla ng another 1 month and now wla p din aqng working visa sbi nla plage ay on process. My question is pwede p bng maextend ulit un or pwede bng business visa nlng muna while waiting for my working visa??? thanks!,Relevant
how to extend the visit visa after 6 months and how long period? Resigning within probation period,want to extend the visit visa. What are the procedures and how long i get the extension. thanks for the answers...,Dear All; I have been working with a local company; my probaion period is 6 months. however i m not happy with my job; and would like to change. i got another offer from different co. 1.can i resign? if so how many days notice as per qatari law. 2.can i change my sponsorship to my new company I have done medical but finger print NOT done; not contract sign.. pls help me,Irrelevant
how to extend the visit visa after 6 months and how long period? Visit Visa/Work Visa,want to extend the visit visa. What are the procedures and how long i get the extension. thanks for the answers...,Hi Guys; Do U any have idea regarding the procedure of Visas over there in Qatar. If anybody comes in visit visa and search for jobs over there. If any find the job; in that circumstance how the process will be to change the visit visa to working visa. Is it difficult and time consuming. How have to process for the change of visa???? Kindly suggest anybody..Take care,Relevant
how to extend the visit visa after 6 months and how long period? Business Visa and NOC,want to extend the visit visa. What are the procedures and how long i get the extension. thanks for the answers...,Hello everyone; I'm already here in Qatar a month ago under business visa with my sponsor. Do I still need an NOC in order to apply for another company here in Qatar if ever I decide to go home on the 3 month period of the business visa? Thanks.,Irrelevant
how to extend the visit visa after 6 months and how long period? Absconding,want to extend the visit visa. What are the procedures and how long i get the extension. thanks for the answers...,I'm outside of Qatar for 5 months now; I filed a resignation to my company but they did not allow me. I had to take an emergency leave because of some issues in my homeland. I'm aware that the visa/rp will be cancelled after 6 months of being outside the country but can my employer file an absconding case against me on the ground of non-returning from emergency leave?,PerfectMatch
how to extend the visit visa after 6 months and how long period? Changing your profession on Residence visa,want to extend the visit visa. What are the procedures and how long i get the extension. thanks for the answers...,My profession shown in my residence visa is Technician whereas in reality I am working as Manager. I tried to change my profession from Technician to Manager through our agent but for some reason he is saying it is not possible. I have Masters in Business administration and Masters in Geology. I really wonder why this change can't be done. Does any body has any suggestion of how to do this change?,Irrelevant
how can my boyfriend get me and our baby son a visit visa there? Family visa,How can my boyfriend who currently works for a government office there get me and our baby a visit visa? How long can we stay there in doha and can we also get married there as well? Can we stay together in his house there? Can you give us advice and the steps to take for getting visa and requirements for marriage there in Qatar? It will be greatly appreciated.Thanks in advance,Hello I would like to know whatåÊare the required documents for applying for family visa; AlreadyåÊmy wife isåÊin qatar on visit visa. I need to change it to Family visa for RP. Please anyone tell me what allåÊI require. * Regarding the bank statementåÊ; is three(3) months bank statement enough? cause iåÊcan give only for three months. I opened an account only this month..åÊPls advice.. Thank you. With regards.,Relevant
how can my boyfriend get me and our baby son a visit visa there? Visa cancellation without passport,How can my boyfriend who currently works for a government office there get me and our baby a visit visa? How long can we stay there in doha and can we also get married there as well? Can we stay together in his house there? Can you give us advice and the steps to take for getting visa and requirements for marriage there in Qatar? It will be greatly appreciated.Thanks in advance,Can my sponsor cancel my visa even without my passport? Thank you guys...,Irrelevant
how can my boyfriend get me and our baby son a visit visa there? any favours for qatar born expatriates?,How can my boyfriend who currently works for a government office there get me and our baby a visit visa? How long can we stay there in doha and can we also get married there as well? Can we stay together in his house there? Can you give us advice and the steps to take for getting visa and requirements for marriage there in Qatar? It will be greatly appreciated.Thanks in advance,well; as far as the western countries are concerned they are giving special care for the expat born there . i doesnt seem to happen here in qatar from the government point of view or i may dont know any such favours kindly reply with ur experience please.....,Irrelevant
how can my boyfriend get me and our baby son a visit visa there? Via Hongkong Before Coming to Doha.,How can my boyfriend who currently works for a government office there get me and our baby a visit visa? How long can we stay there in doha and can we also get married there as well? Can we stay together in his house there? Can you give us advice and the steps to take for getting visa and requirements for marriage there in Qatar? It will be greatly appreciated.Thanks in advance,Tatanong lang po kung sino man sa mga kabayan natin ang nag Hongkong muna (nag tour man o hindi) tapos pumunta ng Qatar. Ano ba ang mga tinatanong na mga reequirements ng Hongkong immigration kung papunta ka dito sa Qatar?,Irrelevant
how can my boyfriend get me and our baby son a visit visa there? Park House School,How can my boyfriend who currently works for a government office there get me and our baby a visit visa? How long can we stay there in doha and can we also get married there as well? Can we stay together in his house there? Can you give us advice and the steps to take for getting visa and requirements for marriage there in Qatar? It will be greatly appreciated.Thanks in advance,Does anyone out there have a child in this school? We are moving out next month and have a place at Park House for our 7yrs son. What is it like. Feedback please!!!!,Irrelevant
how can my boyfriend get me and our baby son a visit visa there? Family visit visa extension in Imigration?,How can my boyfriend who currently works for a government office there get me and our baby a visit visa? How long can we stay there in doha and can we also get married there as well? Can we stay together in his house there? Can you give us advice and the steps to take for getting visa and requirements for marriage there in Qatar? It will be greatly appreciated.Thanks in advance,Dear you know imigration having any particular time for extending family visit visa? In doha; imigration office only in madina kalifa or ? which time & which days captain available there? We need to extend our family visit visa this month end then six months finished... Please help me ...,Relevant
how can my boyfriend get me and our baby son a visit visa there? Wrong gender on the Visa,How can my boyfriend who currently works for a government office there get me and our baby a visit visa? How long can we stay there in doha and can we also get married there as well? Can we stay together in his house there? Can you give us advice and the steps to take for getting visa and requirements for marriage there in Qatar? It will be greatly appreciated.Thanks in advance,i have applied for a visit visa for my wife; the visa is printed and delivered but the gender on the visa is wrong. Funny thing is that the Profession mentioned is Housewife and the gender entered in the visa is Male. So i don't know what to do now and whom to call? and how long it will take to correct it?,Irrelevant
how can my boyfriend get me and our baby son a visit visa there? Teenagers in Qatar,How can my boyfriend who currently works for a government office there get me and our baby a visit visa? How long can we stay there in doha and can we also get married there as well? Can we stay together in his house there? Can you give us advice and the steps to take for getting visa and requirements for marriage there in Qatar? It will be greatly appreciated.Thanks in advance,Has anybody dragged very reluctant teenagers to Qatar? How did they adapt after getting there. My 14yr old was initially quite keen but as time is getting closer to us leaving home he is protesting and being very negative about coming to Qatar. Does anyone have any suggestions on how to cope with this behaviour?,Irrelevant
how can my boyfriend get me and our baby son a visit visa there? Girlfriend visiting; hotel problem?,How can my boyfriend who currently works for a government office there get me and our baby a visit visa? How long can we stay there in doha and can we also get married there as well? Can we stay together in his house there? Can you give us advice and the steps to take for getting visa and requirements for marriage there in Qatar? It will be greatly appreciated.Thanks in advance,A friend of mine asked me to post this question His girlfriend is coming to visit him from the US and they wanna stay at a hotel; would it be ok for them to take a hotel room?,Relevant
how can my boyfriend get me and our baby son a visit visa there? Boarding School in Qatar,How can my boyfriend who currently works for a government office there get me and our baby a visit visa? How long can we stay there in doha and can we also get married there as well? Can we stay together in his house there? Can you give us advice and the steps to take for getting visa and requirements for marriage there in Qatar? It will be greatly appreciated.Thanks in advance,Hi. Does anyone know of any English speaking middle/high school with a boarding facility in Qatar? If not; is there anyone who has a child/children in a boarding school elsewhere? In what country? Any information will be very much appreciated! Thank you!,Irrelevant
Is it cheaper to buy new clothes in Qatar than pay to transport them over from the UK? What should I ship/What should I purchase out there?,I begin employment in Qatar Aug 09 and have just been quoted 1000 to have them flown over. Is it worth the hassle of customs or should i buy new? How do prices compare UK Next with Qatar Next?,This post does what it says on the tin. Any advice? I'm coming from the UK. What kind of things should I be thinking about shipping; what stuff should I leave behind and buy when I get out there? Thank you or should I start practising and say 'shukran' now? :o),Relevant
Is it cheaper to buy new clothes in Qatar than pay to transport them over from the UK? is Doha expensive?,I begin employment in Qatar Aug 09 and have just been quoted 1000 to have them flown over. Is it worth the hassle of customs or should i buy new? How do prices compare UK Next with Qatar Next?,I haven't moved there yet and was wondering how it compares to most European cities... eating out; supermarket shopping; clothes; cosmetics; etc.,PerfectMatch
Is it cheaper to buy new clothes in Qatar than pay to transport them over from the UK? Newborn child,I begin employment in Qatar Aug 09 and have just been quoted 1000 to have them flown over. Is it worth the hassle of customs or should i buy new? How do prices compare UK Next with Qatar Next?,Hi guys ... a very silly question but i'm due to be a dad next year in June (w00t!!! w00t!!!) ... just wanted to see how much on average do the parents spend on their newborn kids (milk; clothes; nappies etc.)?,Irrelevant
Is it cheaper to buy new clothes in Qatar than pay to transport them over from the UK? Why is Doha SO EXPENSIVE?,I begin employment in Qatar Aug 09 and have just been quoted 1000 to have them flown over. Is it worth the hassle of customs or should i buy new? How do prices compare UK Next with Qatar Next?,What the hell??! I mean; it's not like it's San Francisco or New York City!! So-called limo service (in a FORD!) cost $30 for one mile ride. Karwa taxi is not that cheap either: 1 mile ride was like $12. Food was also insanely expensive. Hotels were just an outrage. What's the deal?! Is this a strategy to make Doha a party city for the rich only?! but then; those who're rich is because they didn't spend their money on stupid stuff like a $50 lunch!,Irrelevant
Is it cheaper to buy new clothes in Qatar than pay to transport them over from the UK? Gift vouchers for Doha?,I begin employment in Qatar Aug 09 and have just been quoted 1000 to have them flown over. Is it worth the hassle of customs or should i buy new? How do prices compare UK Next with Qatar Next?,Hello; I live in England and my sister is in Doha. Is it possible for me to purchase gift vouchers for my sister to use in department stores in Doha? I would like to pay online and then email my sister a reference. Does anybody know of any shops that allow this?,Irrelevant
Is it cheaper to buy new clothes in Qatar than pay to transport them over from the UK? Qatari Wedding,I begin employment in Qatar Aug 09 and have just been quoted 1000 to have them flown over. Is it worth the hassle of customs or should i buy new? How do prices compare UK Next with Qatar Next?,We have been invited to a Qatari Wedding this Thursday; and apart from not knowing anyone (as my husband will be on the men's party and I will be at the women's party - to state the obvious!) I have no idea what to expect and what the customs are.åÊ What should I wear? Do we bring a gift?åÊ What happens during a wedding? I am veryåÊhonoredåÊto have been invited but terrified of making a fool of my self!,Irrelevant
Is it cheaper to buy new clothes in Qatar than pay to transport them over from the UK? Any Singaporeans in Doha?,I begin employment in Qatar Aug 09 and have just been quoted 1000 to have them flown over. Is it worth the hassle of customs or should i buy new? How do prices compare UK Next with Qatar Next?,Hiya! My husband and I will be relocating to Doha before the end of the year from Singapore. Would be great to meet up with fellow singaporeans or anyone who would like to meet up with us (fellow newbies or folks who have been in Doha for a while). We are looking for a place to stay too; either an apartment or villa. We can't wait to get there!,Irrelevant
Is it cheaper to buy new clothes in Qatar than pay to transport them over from the UK? shipping personal effects,I begin employment in Qatar Aug 09 and have just been quoted 1000 to have them flown over. Is it worth the hassle of customs or should i buy new? How do prices compare UK Next with Qatar Next?,Just wondering if it's worth shipping the kids bikes; skateboards; xbox360 etc over with our other personal effects from New Zealand? What have others done? Cheers!,Irrelevant
Is it cheaper to buy new clothes in Qatar than pay to transport them over from the UK? immigrate to other country?,I begin employment in Qatar Aug 09 and have just been quoted 1000 to have them flown over. Is it worth the hassle of customs or should i buy new? How do prices compare UK Next with Qatar Next?,do we consider QataråÊas our home? I am just wondering; are there and how many (if any) of us would like to immigrate to another country; let&#39;s say to US or Canada?,Irrelevant
Is it cheaper to buy new clothes in Qatar than pay to transport them over from the UK? Teachers heading to AKIS Al Khor?,I begin employment in Qatar Aug 09 and have just been quoted 1000 to have them flown over. Is it worth the hassle of customs or should i buy new? How do prices compare UK Next with Qatar Next?,Anybody else out there starting at Al Khor International School in September 2010? Would be good to make some contacts in advance; share info etc. Already have a colleague there that I used to work with (2 in fact) but keen to hear from others too.,Irrelevant
Can we resign from the job?? PERSONAL LOAN AND WORK TERMINATION,My employer have recruited me as a Business Development Executive in a Labor Visa.I am put on a Impossible task.I want to resign from the Job.Can I do that??,I am currently working here in Qatar; our employer informed us that they will transfer to contractor with less salary; but we have option not to accept; but the problem is I have Personal Loan in one of the BAnk here in DOHA; what if I will not accept the offer; what will happen to me ; I mean did the BAnk will force to pay or not?,Irrelevant
Can we resign from the job?? AFTER RESIGNATION BENIFITS AS PER QATAR LAW,My employer have recruited me as a Business Development Executive in a Labor Visa.I am put on a Impossible task.I want to resign from the Job.Can I do that??,I AM WORKING IN QATAR ON LAST 6 YEARS; MY PRESENT SALARY 5000 QR; I WOULD LIKE TO RESIGN FROM MY JOB AND SETTLE BACK TO MY NATIV COUNTRY; CAN U PLEASE ADVISE ME WHAT KIND OF BENEFITS I CAN EXPECT ACCORDING TO QATAR LABOR LAW. (IS IT COMPANY CAN GIVE THE GRATUITY TOGETHER WITH MONTHLY SALARY IS IT ALLOW BY THE LAW HERE) IF I GO LEGAL ACTION AGAINST COMPANY ANY USE?? PLEASE ADVISE,PerfectMatch
Can we resign from the job?? Resigning within probation period,My employer have recruited me as a Business Development Executive in a Labor Visa.I am put on a Impossible task.I want to resign from the Job.Can I do that??,Dear All; I have been working with a local company; my probaion period is 6 months. however i m not happy with my job; and would like to change. i got another offer from different co. 1.can i resign? if so how many days notice as per qatari law. 2.can i change my sponsorship to my new company I have done medical but finger print NOT done; not contract sign.. pls help me,PerfectMatch
Can we resign from the job?? Ban in Qatar,My employer have recruited me as a Business Development Executive in a Labor Visa.I am put on a Impossible task.I want to resign from the Job.Can I do that??,I just want to ask if there is new rules about the ban in Qatar;once you are cancelled. Is there any ways to comeback and seek for a job again?,Relevant
Can we resign from the job?? husband visa not allow to resign;what to do?,My employer have recruited me as a Business Development Executive in a Labor Visa.I am put on a Impossible task.I want to resign from the Job.Can I do that??,My wife in my sponsorship (husband visa). Currently working in a company here in qatar; But she decided to resign. And her employee(owner of the company) doesn't want to allow her to resign; they say they will sue us and we will meet in the court? Is this possible? if ever my wife sign a contract to them and not yet finished; can they really sue her? If ever; anyone knows a lawyer to help us? thanks!,Irrelevant
Can we resign from the job?? probation period,My employer have recruited me as a Business Development Executive in a Labor Visa.I am put on a Impossible task.I want to resign from the Job.Can I do that??,Hi Guys; I got a job offer from Qatar and the probation periods are for three months. If for any reason I dont like the company or the job; can I leave my job? I need some advise from the experts out here. Thanks,PerfectMatch
Can we resign from the job?? Is it right to resign from your company at this time of crisis?,My employer have recruited me as a Business Development Executive in a Labor Visa.I am put on a Impossible task.I want to resign from the Job.Can I do that??,Is it right to resign from your job at this time of global crisis? the reason is i'm not doing anything in the office. I feel bored everyday. I fee useless; but I'm hesistant to resign because of the condition today even that I'm on husband sponsor. Please advise me.,Relevant
Can we resign from the job?? How to go home without exit permit,My employer have recruited me as a Business Development Executive in a Labor Visa.I am put on a Impossible task.I want to resign from the Job.Can I do that??,My sponsor is not willing to give me exit permit in the fear of my not return. I am about 3 years at Qatar; and I want to go home on a vacation before Eid. Is there any way to go home without the exit permit from sponsor? I want to go home before Eid; no matter what does it cost; even cancellation of my visa. Thank you for your advice.,Irrelevant
Can we resign from the job?? 5 Years Gratuity,My employer have recruited me as a Business Development Executive in a Labor Visa.I am put on a Impossible task.I want to resign from the Job.Can I do that??,Hi to all; I'm six years now working my company can i get my 5 years gratuity pay from my company? Any labor law related to it? Thanks for your help.,Irrelevant
Can we resign from the job?? Hamad Medical corp Salary,My employer have recruited me as a Business Development Executive in a Labor Visa.I am put on a Impossible task.I want to resign from the Job.Can I do that??,hey guys. I`m a nurse here in the phils. i just signed a contract for hamad as a staff nurse. the offer is 5600 qatar riyals per month plus 1000 qatar riyal for transportation allowance. Is that a great deal? how about the free accommodation does it look good? I`m anxious about my new job. help pls.,Irrelevant
anyone knows where the best to sell or trade cars here in Doha? Where can i buy Tyres for my Car???,i was thinking of trading or selling my car. in case i want to trade it; where is the best trading company? as well as to where to sell it?,Hey... Just wanted to check where i can get tyres for my car.. and of course at the best prices.. lol.. Cheerz,Relevant
anyone knows where the best to sell or trade cars here in Doha? Absolutely cheapest car rental company?,i was thinking of trading or selling my car. in case i want to trade it; where is the best trading company? as well as to where to sell it?,I'm sorry; I know this has been asked before a thousand times. The problem is most of the threads are 4 years old. What is the absolutely cheapest car available for rent through a reputable company? (I'm not interested in renting from anyone's friend; thanks!),Irrelevant
anyone knows where the best to sell or trade cars here in Doha? Expats buying property in Qatar,i was thinking of trading or selling my car. in case i want to trade it; where is the best trading company? as well as to where to sell it?,Have any expats on this forum either bought property in Qatar; or considered buying and then rejected - i.e zig zag towers; the Pearl etc ? I'm trying to evaluate whether or not this would be a good investment. What do you think are the potential risks and upsides ? If you have bought; what was your experience of the process and in hindsight; was it a good decision ? Regards,Irrelevant
anyone knows where the best to sell or trade cars here in Doha? business opportunities in Qatar,i was thinking of trading or selling my car. in case i want to trade it; where is the best trading company? as well as to where to sell it?,hi every one;please help me put in finding some business oppurtunities in Qatar. jus let me know what business Qatar is lacking?that you find missing from other GCC countries... any scope for new business or new style of doing the existing business. or the changes you expect in the current Qatar Market...,Irrelevant
anyone knows where the best to sell or trade cars here in Doha? Good cleaning company in Doha?,i was thinking of trading or selling my car. in case i want to trade it; where is the best trading company? as well as to where to sell it?,Hi; Can anyone recommend me a professional cleaning company? I am tired of finding my apartment half-cleaned by untrustworthy people. Your suggestions are welcome...,Irrelevant
anyone knows where the best to sell or trade cars here in Doha? Pc Modders And Gamers...,i was thinking of trading or selling my car. in case i want to trade it; where is the best trading company? as well as to where to sell it?,Any Pc Modders here?? Any hardcore gamers around?? If yes; then this is the place for you all... Discussing about Pc Modifications; Building Higher End Rigs; Computer related discussions; doubts anything...,Irrelevant
anyone knows where the best to sell or trade cars here in Doha? Is medical treatment for residents free?,i was thinking of trading or selling my car. in case i want to trade it; where is the best trading company? as well as to where to sell it?,I just heard that medical treatment for residents is free. And can not believe that. I heard that medical treatment for native qataris is free; which seems plausible. But does that also apply for anyone who has residence status?,Irrelevant
anyone knows where the best to sell or trade cars here in Doha? Part-time job from home????,i was thinking of trading or selling my car. in case i want to trade it; where is the best trading company? as well as to where to sell it?,Hi there; I am looking for a part-time job I can do from home: writing; data-entry but please no tutoring. Is there a way of making some extra money from home?,Irrelevant
anyone knows where the best to sell or trade cars here in Doha? Any Singaporeans in Doha?,i was thinking of trading or selling my car. in case i want to trade it; where is the best trading company? as well as to where to sell it?,Hiya! My husband and I will be relocating to Doha before the end of the year from Singapore. Would be great to meet up with fellow singaporeans or anyone who would like to meet up with us (fellow newbies or folks who have been in Doha for a while). We are looking for a place to stay too; either an apartment or villa. We can't wait to get there!,Irrelevant
anyone knows where the best to sell or trade cars here in Doha? Prostitution in Qatar - Any Solution?,i was thinking of trading or selling my car. in case i want to trade it; where is the best trading company? as well as to where to sell it?,I know atleast two women who are sleeping with various men for money and I wish I could do something to stop them.Is there any number to call to inform about them?,Irrelevant
my doubt one more douby please,I would like to know some information from you all . Suppose someone came here under visit visa and extended it up to six month. Then after six month he went; my doubt is that; how many moths should he wait to come here again after. Can he come here again within one month under a new visit visa?,can one go to dubai for one week and come back here ;if he is under personal visit visa(6 month)? ... is it posible ?,Relevant
my doubt Cheap European Cars...,I would like to know some information from you all . Suppose someone came here under visit visa and extended it up to six month. Then after six month he went; my doubt is that; how many moths should he wait to come here again after. Can he come here again within one month under a new visit visa?,Why & How The European cars become more expensive in maintainence and spare parts than any other vehicles??,Irrelevant
my doubt Dual Residence Permit In Gcc,I would like to know some information from you all . Suppose someone came here under visit visa and extended it up to six month. Then after six month he went; my doubt is that; how many moths should he wait to come here again after. Can he come here again within one month under a new visit visa?,Hi... I am an Indian Doctor and working as a visiting consultant in UAE 1 week for a month (i have residence permit in UAE). Now i got another offer in Qatar as a consultant 2 weeks for a month. Both are different employers. Can i get Residence permit in qatar? Could i get dual RP ? kindly let me know your valuable informations.,Relevant
my doubt Big-time doubt-Ladies only!,I would like to know some information from you all . Suppose someone came here under visit visa and extended it up to six month. Then after six month he went; my doubt is that; how many moths should he wait to come here again after. Can he come here again within one month under a new visit visa?,okay girls....this is a doubt that has been bugging me since quite some time.i've been using this particular shampoo since a few months.it promises to give health and shine to hair.but there are other shampoos which give bounce;strength;volume;etc.is it okay if i mix a couple of shampoos and use?i asked one of my friends and she says it's not advisable.... what do y'all think?,Irrelevant
my doubt Doha Bank Customer Care,I would like to know some information from you all . Suppose someone came here under visit visa and extended it up to six month. Then after six month he went; my doubt is that; how many moths should he wait to come here again after. Can he come here again within one month under a new visit visa?,Doha Bank's customer care is horrible. The lady answering the calls does not know even the basics of Doha Bank procedures etc. The others are equally unqualified. God knows how they run such a big bank with all these idiots whose only response is 'Please visit your branch for further deyails'. I say - If I had the time to visit my branch why the heck 'am I calling you? Fair ?,Irrelevant
my doubt Marriage Certificate Attestation,I would like to know some information from you all . Suppose someone came here under visit visa and extended it up to six month. Then after six month he went; my doubt is that; how many moths should he wait to come here again after. Can he come here again within one month under a new visit visa?,HI All; Anybody can tell me what kind of attestation are the MOL looking for on the marriage certificate for family visit visa? Also if its really needed to get a visit visa for my wife? Thanks & Regards Gokul Govind,Irrelevant
my doubt 5 Nuns on leggy Barstool- I love it!,I would like to know some information from you all . Suppose someone came here under visit visa and extended it up to six month. Then after six month he went; my doubt is that; how many moths should he wait to come here again after. Can he come here again within one month under a new visit visa?,Should I be feeling guilty about it? Anyone else feels the same?,Irrelevant
